customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8270-TOKHU,Female,0,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.24,4065.82,No
6734-ZSWKK,Female,1,No,No,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.48,1396.35,Yes
9322-VUBXL,Female,0,Yes,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.19,1368.99,No
7949-BUALZ,Male,1,Yes,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.13,69.66,Yes
7396-LYQJP,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,79.79,5757.06,Yes
1189-OSLWT,Female,1,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.26,1421.06,No
2528-CESGU,Male,0,No,No,27,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),53.8,1423.37,No
6393-DYNRZ,Female,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,93.53,1223.52,Yes
8513-UBTOG,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),81.38,2924.62,No
1775-OCNQD,Male,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.56,1029.82,No
2585-HDBFV,Female,0,No,No,66,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.58,4629.86,No
4843-VRZLB,Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.46,3828.24,No
5297-DNPOH,Female,0,No,No,68,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,104.87,7179.04,Yes
8629-WYHUP,Female,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),87.07,2858.7,Yes
8916-ROUXZ,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,95.07,2175.23,No
5859-MIOMA,Female,1,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.49,363.53,No
9006-IXALH,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.89,1396.89,No
6258-SQHCC,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,110.43,3544.86,Yes
6892-JGZIG,Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,66.51,1272.13,No
9392-HLBAP,Male,1,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.32,265.01,No
3454-XECLH,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.81,732.37,Yes
9154-CACEO,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),55.09,1733.34,No
4840-EZWNG,Male,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),80.96,4440.35,No
7938-IOOZJ,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.16,379.82,Yes
8035-MSGQT,Female,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.25,151.5,No
6116-DEWGM,Male,0,Yes,No,37,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,85.96,3195.38,Yes
2678-KDMGS,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,74.16,2216.72,Yes
4157-BJMYU,Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.14,1430.19,No
3693-LLTKZ,Female,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),98.85,3744.59,No
6592-GAAYY,Male,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.43,1667.84,No
6864-CGFHI,Male,0,Yes,Yes,18,Yes,Yes,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,50.57,903.41,No
5413-EASJL,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,77.86,1786.96,No
1663-OVXIT,Female,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.12,118.55,No
6232-QZTLG,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,99.1,504.48,Yes
8554-QEQXQ,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),91.31,4659.8,No
1698-QBBVW,Male,1,No,Yes,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,57.09,1305.65,Yes
9164-AASBU,Female,0,No,No,26,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),55.02,1409.64,No
2707-ZFWDW,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.54,6523.34,Yes
1202-XQFXE,Male,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,29.28,406.45,No
3931-BFVKP,Male,0,No,No,20,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.48,397.08,No
7287-AIFPC,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.81,213.07,Yes
1659-DSZCS,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.02,1816.49,No
3911-GTIAH,Male,1,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Mailed check,111.17,2330.15,No
6759-GRHAK,Female,0,No,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.87,505.44,No
9155-YYRWJ,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,52.33,2600.82,No
1262-PZPYT,Male,0,No,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.32,1191.18,No
3049-APLEE,Female,0,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,53.37,925.3,No
